name,gender,birthyear,namegender,usage,pctyb,rich,pctrank,richnum,french,english,biblical,unisex
Roger,m,1981,['Masculine'],"['English', 'French', 'Catalan', 'Swedish', 'Norwegian', 'German', 'Dutch']",0.0012045948529873500,Common,0.21600,0,1,1,0,0
Bradley,m,1981,['Masculine'],['English'],0.0037028945168925100,Common,0.39700,0,0,1,0,0
Thomas,m,1981,['Masculine'],"['English', 'French', 'German', 'Dutch', 'Swedish', 'Norwegian', 'Danish', 'Greek', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0092175125760454100,Common,0.56000,0,1,1,1,0
Brian,m,1981,['Masculine'],"['English', 'Irish', 'Old Irish']",0.0142785287409138000,Common,0.66700,0,0,1,0,0
Michael,m,1981,['Masculine'],"['English', 'German', 'Danish', 'Swedish', 'Norwegian', 'Dutch', 'Czech', 'Biblical', 'Biblical Latin', 'Biblical Greek']",0.0369226573877791000,Common,0.87300,0,0,1,1,0
David,m,1981,['Masculine'],"['English', 'Hebrew', 'French', 'Scottish', 'Welsh', 'Spanish', 'Portuguese', 'Catalan', 'German', 'Swedish', 'Norwegian', 'Danish', 'Dutch', 'Czech', 'Slovene', 'Russian', 'Croatian', 'Serbian', 'Macedonian', 'Romanian', 'Biblical', 'Biblical Latin']",0.0218330133069081000,Common,0.76100,0,1,1,1,0
Anthony,m,1981,['Masculine'],['English'],0.0099733367975276800,Common,0.57400,0,0,1,0,0
Matthew,m,1981,['Masculine'],"['English', 'Biblical']",0.0232646775105254000,Common,0.77200,0,0,1,1,0
Nicholas,m,1981,['Masculine'],['English'],0.0106169683611336000,Common,0.58500,0,0,1,0,0
Toby,m,1981,"['Feminine', 'Masculine']",['English'],0.0002463944017474140,Common,0.10100,0,0,1,0,1
Jeffery,m,1981,['Masculine'],['English'],0.0017902512632410100,Common,0.26600,0,0,1,0,0
Logan,m,1981,"['Feminine', 'Masculine']",['English'],0.0003720072340108010,Common,0.12600,0,0,1,0,1
Brett,m,1981,['Masculine'],['English'],0.0020253727185032500,Common,0.28400,0,0,1,0,0
Danny,m,1981,['Masculine'],"['English', 'Dutch']",0.0011240738066646700,Common,0.20800,0,0,1,0,0
